step,train_loss,val_loss
0,5.5716400146484375,5.570189952850342
100,2.811997652053833,2.8166420459747314
200,2.5425777435302734,2.546351671218872
300,2.428670644760132,2.4269464015960693
400,2.3307671546936035,2.331338405609131
500,2.2504818439483643,2.2661871910095215
600,2.180048704147339,2.2107110023498535
700,2.1289942264556885,2.1572518348693848
800,2.0705277919769287,2.113612413406372
900,2.0313243865966797,2.0788168907165527
1000,1.9805352687835693,2.0448076725006104
1100,1.9544066190719604,2.026360511779785
1200,1.912746787071228,2.003084659576416
1300,1.8848114013671875,1.979055643081665
1400,1.862638235092163,1.9612834453582764
1500,1.844460129737854,1.9603664875030518
1600,1.8102422952651978,1.942048192024231
1700,1.793509840965271,1.9232913255691528
1800,1.7754348516464233,1.9156461954116821
1900,1.7662559747695923,1.8929117918014526
2000,1.7419542074203491,1.8890708684921265
2100,1.7241657972335815,1.8794959783554077
2200,1.7076045274734497,1.874154806137085
2300,1.7029191255569458,1.8540536165237427
2400,1.6911860704421997,1.847373366355896
2500,1.6752935647964478,1.8502970933914185
2600,1.6629759073257446,1.8250514268875122
2700,1.6552215814590454,1.8219292163848877
2800,1.6484140157699585,1.8331674337387085
2900,1.6419401168823242,1.81634521484375
3000,1.6253149509429932,1.7995917797088623
