step,train_loss,val_loss
0,5.619466781616211,5.610860824584961
100,2.512449264526367,2.519974708557129
200,2.3677852153778076,2.382168769836426
300,2.2047841548919678,2.233215570449829
400,2.0365898609161377,2.0989484786987305
500,1.9153685569763184,2.01371693611145
600,1.8188443183898926,1.9286564588546753
700,1.7291103601455688,1.8794931173324585
800,1.6707098484039307,1.825299859046936
900,1.6096404790878296,1.772689938545227
1000,1.5627777576446533,1.7240492105484009
1100,1.5227713584899902,1.7058053016662598
1200,1.4891119003295898,1.6683365106582642
1300,1.4647561311721802,1.6466872692108154
1400,1.442062258720398,1.639979600906372
1500,1.4127789735794067,1.5984152555465698
1600,1.399533748626709,1.6029448509216309
1700,1.3780357837677002,1.5806057453155518
1800,1.3615128993988037,1.5878597497940063
1900,1.3479032516479492,1.5677947998046875
2000,1.3338932991027832,1.5667812824249268
2100,1.3238911628723145,1.538669466972351
2200,1.3132435083389282,1.5433272123336792
2300,1.2961785793304443,1.517431616783142
2400,1.2927361726760864,1.5284392833709717
2500,1.2805408239364624,1.5205308198928833
2600,1.2761225700378418,1.5165677070617676
2700,1.264061450958252,1.5128575563430786
2800,1.2571603059768677,1.5107899904251099
2900,1.2512725591659546,1.4985827207565308
3000,1.2402644157409668,1.5025352239608765
